,day,month,year,latitude,longitude,Specie
3406,9,6,2020,21.0208108141,-98.5266083112,Aedes aegypti  
3407,9,6,2020,21.0207932882,-98.5266244044,Aedes aegypti  
3408,9,6,2020,21.0208007993,-98.5266136756,Aedes aegypti  
3409,9,6,2020,21.0207894152,-98.52661904,Aedes aegypti  
3410,9,6,2020,21.0179015359,-98.5276280802,Aedes aegypti  
3411,9,6,2020,21.0178790021,-98.5276173513,Aedes aegypti  
3412,8,6,2020,20.8932965942,-98.6098443708,Aedes aegypti  
3413,19,8,2020,21.138145,-98.403025,Aedes aegypti  
3414,19,8,2020,21.040016,-98.376861,Aedes aegypti  
3415,19,8,2020,21.175658,-98.591594,Aedes aegypti  
3416,19,8,2020,21.173849,-98.600379,Aedes aegypti  
3417,19,8,2020,21.172608,-98.604173,Aedes aegypti  
3418,19,8,2020,21.172035,-98.604633,Aedes aegypti  
3419,19,8,2020,21.173147,-98.606563,Aedes aegypti  
3420,19,8,2020,21.174642,-98.608255,Aedes aegypti  
3421,19,8,2020,21.174685,-98.609808,Aedes aegypti  
3422,19,8,2020,21.091793,-98.211086,Aedes aegypti  
3423,19,7,2020,29.4241218525,-98.4936282411,Aedes aegypti  
3424,27,5,2020,27.2996558,-82.5071179,Aedes aegypti  
3425,26,5,2020,-26.1933729961,-58.181967697,Aedes aegypti  
3426,20,9,2020,26.1969591032,-80.347872028,Aedes aegypti  
3427,24,9,2020,21.040139,-98.309816,Aedes aegypti  
3428,24,9,2020,21.041266,-98.311815,Aedes aegypti  
3429,26,6,2020,32.72263667,-117.1315,Aedes aegypti  
3430,18,9,2020,31.2972269722,-97.255363,Aedes aegypti  
3431,24,9,2020,21.040937,-98.31241,Aedes aegypti  
3432,24,9,2020,21.039958,-98.312136,Aedes aegypti  
3433,24,9,2020,21.040546,-98.312434,Aedes aegypti  
3434,24,9,2020,21.039472,-98.310838,Aedes aegypti  
3435,24,9,2020,21.039378,-98.310574,Aedes aegypti  
3436,24,9,2020,21.171575,-98.487296,Aedes aegypti  
3437,24,9,2020,21.171073,-98.486375,Aedes aegypti  
3438,24,9,2020,21.171158,-98.486051,Aedes aegypti  
3439,18,6,2020,32.6778219666,-117.082420061,Aedes aegypti  
3440,24,9,2020,21.033439,-98.351115,Aedes aegypti  
